# key	dim	func — the source row for each committed drawable-nodpi/nato_<aff>_<key>.png (func = MIL-STD-2525B code in 'Nato Icons.zip'); SymbolAssetsTest keeps this, NatoSymbols.extended and the PNGs in step
inf_abn	g	ucia
inf_ifv	g	ucii
inf_light	g	ucil
inf_mot	g	ucim
inf_naval	g	ucin
inf_mtn	g	ucio
armor_abn	g	ucata
armor_hv	g	ucath
armor_lt	g	ucatl
armor_med	g	ucatm
armor_rec	g	ucatr
armor_whd	g	ucaw
aa_arm	g	ucaaa
aa_abn	g	ucaas
aa_dis	g	ucaad
aa_mot	g	ucaao
recon_abn	g	ucra
recon_amph	g	ucrr
cav	g	ucrv
aircav	g	ucrvo
lrs	g	ucrx
how	g	ucfh
how_sp	g	ucfhe
mlrs	g	ucfrm
arty_met	g	ucfo
arty_svy	g	ucfs
ta_arty	g	ucft
cbradar	g	ucftr
anglico	g	ucfta
ada_gun	g	ucdg
ada_radar	g	ucdt
sam_hv	g	ucdmh
sam_lt	g	ucdml
sam_med	g	ucdmm
ssm	g	ucm
ssm_str	g	ucms
ssm_tac	g	ucmt
avn_fw	g	ucvf
avn_rw	g	ucvr
utilhelo	g	ucvru
vstol	g	ucvv
eng_cbt	g	ucec
eng_cbt_h	g	ucech
eng_cbt_l	g	ucecl
eng_cbt_m	g	ucecm
eng_con	g	ucen
security	g	ucs
bio_recon	g	uuab
decon	g	uuad
nuc	g	uuan
iw	g	uui
ci	g	uumc
ipw	g	uumq
gsr	g	uumrg
sig_area	g	uusa
sig_ops	g	uuso
admin	g	usa
finance	g	usaf
jag	g	usaj
labor	g	usal
mail	g	usao
pubaff	g	usap
chaplain	g	usar
persvc	g	usas
mwr	g	usaw
rhu	g	usax
dental	g	usmd
medfac	g	usmt
vet	g	usmv
sup1	g	uss1
sup2	g	uss2
sup3	g	uss3
sup4	g	uss4
sup5	g	uss5
sup6	g	uss6
sup7	g	uss7
sup8	g	uss8
sup9	g	uss9
laundry	g	ussl
water	g	ussw
waterpur	g	usswp
aport	g	usta
mcc	g	ustm
rail	g	ustr
seaport	g	usts
maint_eo	g	usxe
maint_hv	g	usxh
ordnance	g	usxo
recovery	g	usxr
sof_avn	f	a
sf	f	gs
ranger	f	gr
psyop	f	gp
psyop_abn	f	gpa
seal	f	ns
udt	f	nu
